ROI1,ROI2,meanDEP,meanHEALTH,meanHF,meanLF,stdDEP,stdHEALTH,stdHF,stdLF,padj HD,padj H_LF,padj H_HF,padj D_LF,padj D_HF,padj_HF_LF,EF HD,EF H_LF,EF H_HF,EF D_LF,EF D_HF,EF_HF_LF,ROI1,ROI2,meanDEP,meanHEALTH,meanHF,meanLF,stdDEP,stdHEALTH,stdHF,stdLF,p HD,p H_LF,p H_HF,p D_LF,p D_HF,p_HF_LF,EF HD,EF H_LF,EF H_HF,EF D_LF,EF D_HF,EF_HF_LF
rPCI,rV1,0.155184047,0.154375287,0.155184047,0.155184146,0.130946168,0.130505545,0.130946168,0.130946282,1,1,1,1,1,1,0.006183861,0.006184618,0.006183861,-7.59E-07,-3.32E-10,7.59E-07,rPCI,rV1,0.155184047,0.154375287,0.155184047,0.155184146,0.130946168,0.130505545,0.130946168,0.130946282,0.884704909,0.884690886,0.884704903,0.999985802,0.999999994,0.999985808,0.006183861,0.006184618,0.006183861,-7.59E-07,-3.32E-10,7.59E-07
rPCI,rV2,0.137995479,0.138024922,0.137995478,0.137995287,0.118074697,0.118263271,0.118074696,0.118074789,1,1,1,1,1,1,-0.000249045,-0.000250674,-0.000249051,1.63E-06,6.26E-09,-1.62E-06,rPCI,rV2,0.137995479,0.138024922,0.137995478,0.137995287,0.118074697,0.118263271,0.118074696,0.118074789,0.995340413,0.995309931,0.995340296,0.999969492,0.999999883,0.999969609,-0.000249045,-0.000250674,-0.000249051,1.63E-06,6.26E-09,-1.62E-06
rPCI,lFEF,0.136608661,0.136610058,0.136608658,0.136608637,0.115786502,0.115789972,0.115786493,0.115786498,1,1,1,1,1,1,-1.21E-05,-1.23E-05,-1.21E-05,2.03E-07,1.94E-08,-1.84E-07,rPCI,lFEF,0.136608661,0.136610058,0.136608658,0.136608637,0.115786502,0.115789972,0.115786493,0.115786498,0.999774346,0.99977055,0.999773984,0.999996204,0.999999638,0.999996566,-1.21E-05,-1.23E-05,-1.21E-05,2.03E-07,1.94E-08,-1.84E-07
rPCI,lPCI,0.131915479,0.131917111,0.131914468,0.131915502,0.118284691,0.118285802,0.118283883,0.118284722,1,1,1,1,1,1,-1.38E-05,-1.36E-05,-2.23E-05,-1.94E-07,8.54E-06,8.74E-06,rPCI,lPCI,0.131915479,0.131917111,0.131914468,0.131915502,0.118284691,0.118285802,0.118283883,0.118284722,0.999741849,0.999745471,0.999582011,0.999996378,0.999840162,0.99983654,-1.38E-05,-1.36E-05,-2.23E-05,-1.94E-07,8.54E-06,8.74E-06
rPCI,lPCM,0.140792139,0.140787886,0.140786938,0.140792126,0.116635897,0.116632505,0.116618657,0.116635986,1,1,1,1,1,1,3.64E-05,3.63E-05,-8.13E-06,1.10E-07,4.46E-05,4.45E-05,rPCI,lPCM,0.140792139,0.140787886,0.140786938,0.140792126,0.116635897,0.116632505,0.116618657,0.116635986,0.999318207,0.99932027,0.99984797,0.999997938,0.999166138,0.999168201,3.64E-05,3.63E-05,-8.13E-06,1.10E-07,4.46E-05,4.45E-05
rPCI,lPCS,0.152468902,0.152459918,0.152474735,0.152468938,0.134417463,0.134411948,0.134417563,0.134417502,1,1,1,1,1,1,6.68E-05,6.71E-05,0.000110181,-2.74E-07,-4.34E-05,-4.31E-05,rPCI,lPCS,0.152468902,0.152459918,0.152474735,0.152468938,0.134417463,0.134411948,0.134417563,0.134417502,0.998750073,0.998744944,0.997938517,0.999994871,0.999188459,0.999193588,6.68E-05,6.71E-05,0.000110181,-2.74E-07,-4.34E-05,-4.31E-05
rPCI,lPFCCL,0.139389534,0.139389816,0.139391,0.139389515,0.125123282,0.125118134,0.125123839,0.125123285,1,1,1,1,1,1,-2.26E-06,-2.41E-06,9.45E-06,1.51E-07,-1.17E-05,-1.19E-05,rPCI,lPFCCL,0.139389534,0.139389816,0.139391,0.139389515,0.125123282,0.125118134,0.125123839,0.125123285,0.999957781,0.999954962,0.999823156,0.999997181,0.999780942,0.999778123,-2.26E-06,-2.41E-06,9.45E-06,1.51E-07,-1.17E-05,-1.19E-05
rPCI,lPFCDL,0.141453075,0.141541763,0.148617356,0.141453043,0.11983172,0.120188871,0.131402492,0.119831768,1,1,1,1,1,1,-0.000738671,-0.000738936,0.056165374,2.66E-07,-0.056946395,-0.056946638,rPCI,lPFCDL,0.141453075,0.141541763,0.148617356,0.141453043,0.11983172,0.120188871,0.131402492,0.119831768,0.986180219,0.986175252,0.187910644,0.999995022,0.181847323,0.181845458,-0.000738671,-0.000738936,0.056165374,2.66E-07,-0.056946395,-0.056946638
rPCI,lPFCDM,0.136312187,0.136311175,0.136312183,0.136312109,0.115132353,0.11513274,0.115132345,0.115132249,1,1,1,1,1,1,8.78E-06,8.10E-06,8.74E-06,6.78E-07,3.79E-08,-6.40E-07,rPCI,lPFCDM,0.136312187,0.136311175,0.136312183,0.136312109,0.115132353,0.11513274,0.115132345,0.115132249,0.999835697,0.99984838,0.999836405,0.999987316,0.999999292,0.999988025,8.78E-06,8.10E-06,8.74E-06,6.78E-07,3.79E-08,-6.40E-07
rPCI,lPFCM,0.147772576,0.147768493,0.147777898,0.147772547,0.120879439,0.120875153,0.120877977,0.120879623,1,1,1,1,1,1,3.38E-05,3.35E-05,7.78E-05,2.41E-07,-4.40E-05,-4.42E-05,rPCI,lPFCM,0.147772576,0.147768493,0.147777898,0.147772547,0.120879439,0.120875153,0.120877977,0.120879623,0.999368392,0.999372896,0.998544985,0.999995498,0.999176611,0.999172109,3.38E-05,3.35E-05,7.78E-05,2.41E-07,-4.40E-05,-4.42E-05
